Date,Time,Sensor_2278,Sensor_3276,Sensor_4689,Sensor_5032
6/21/2017,1530,68.86868687,68.58653846,58.13125,66.07857143
6/21/2017,1545,68.778,68.66826923,59.56428571,65.65
5/21/2017,1800,68.795,70.77156863,60.18823529,65.59081633
5/21/2017,1815,68.768,70.69901961,61.3,65.45257732
5/21/2017,1830,68.755,70.64117647,61.49333333,65.32783505
5/21/2017,1845,68.78888889,70.06764706,60.34285714,65.1185567
5/21/2017,1900,68.807,69.87352941,59.94705882,65.00206186
5/21/2017,1915,68.91616162,69.7627451,61.4125,65.13571429
5/21/2017,1930,68.964,69.85490196,60.74,65.4185567
5/21/2017,1945,68.914,70.10686275,60.56363636,65.51340206
5/21/2017,2000,68.96868687,69.99117647,60.54,65.48556701
5/21/2017,2015,68.89393939,69.79705882,61.3,65.44329897
5/21/2017,2030,68.919,69.53465347,62.2375,65.43298969
5/21/2017,2045,68.903,69.38613861,60.58,65.59285714
5/21/2017,1830,69.014,67.6721519,61.51818182,65.71326531
5/21/2017,1845,69.186,67.60886076,63.21428571,65.70808081
5/21/2017,1900,69.186,67.62531646,63.02857143,65.84949495
5/21/2017,1915,69.128,67.50253165,60.44,66.22424242
5/21/2017,1930,69.08989899,67.59873418,57.51428571,66.34646465
5/21/2017,1830,69.27878788,68.26329114,54.46153846,66.7989899
5/21/2017,1845,69.57979798,68.16075949,57.79166667,67.62121212
5/21/2017,1900,69.72020202,68.19873418,57.78,68.43434343
5/21/2017,1915,69.86868687,68.16708861,57.39090909,68.5030303
5/21/2017,1930,70.13737374,68.3164557,56.46363636,68.87272727
5/21/2017,1945,70.49494949,67.70253165,57.53846154,68.26868687
5/21/2017,2000,70.75353535,67.8443038,56.56666667,67.5
5/21/2017,2015,70.91717172,67.19746835,56.23333333,62.67676768
5/21/2017,1830,71.072,66.93098592,55.62941176,53.02323232
5/21/2017,1845,71.16336634,67.08028169,54.08,46.67272727
5/21/2017,1900,71.20693069,67.25070423,53.79230769,47.70707071
5/21/2017,1915,71.45841584,66.94507042,56.01578947,50.67346939
5/21/2017,1930,71.5990099,66.45492958,55.58181818,52.97979798
5/21/2017,1945,71.63861386,66.10704225,56.79545455,58.15353535
5/21/2017,1830,71.5980198,63.07868852,60.1375,62.33030303
5/21/2017,1845,71.76732673,63.29836066,57.92857143,66.275
5/21/2017,1900,71.87029703,63.29836066,58.125,67.92
5/21/2017,1915,71.75445545,62.89508197,58.82727273,68.196
4/8/2017,1115,71.69108911,70.67,60.18823529,68.624
4/8/2017,1130,71.39405941,70.355,61.3,68.266
4/8/2017,1115,71.32079208,67.60759494,61.49333333,67.871
4/8/2017,1130,71.332,67.59873418,59.94705882,68.025
4/8/2017,1145,71.254,67.39493671,60.38333333,68.13
4/8/2017,1200,71.06138614,67.4721519,61.4125,67.997
4/8/2017,1215,70.88613861,67.95189873,60.73,68.09009901
4/8/2017,1230,71.14455446,67.87594937,60.74,67.82178218
4/8/2017,1245,71.15247525,67.33291139,60.56363636,67.7970297
4/8/2017,1300,71.10792079,67.42025316,60.54,67.75445545
4/8/2017,1315,71.10990099,67.91265823,61.13333333,67.77524752
4/8/2017,1330,71.0950495,67.33164557,61.3,67.864
1/20/2017,1915,71.17722772,69.2745098,60.26363636,67.761
1/20/2017,1930,70.88316832,69.34455446,59.85454545,67.589
1/20/2017,1915,70.87425743,66.73670886,60.44,67.74242424
1/20/2017,1930,71.07029703,66.52278481,55.61428571,67.7040404
1/20/2017,1945,71.2950495,65.81772152,59.33333333,67.68181818
1/20/2017,1915,71.3029703,66.69113924,60.16,67.71717172
1/20/2017,1930,71.27524752,66.93037975,55.13125,67.5959596
1/20/2017,1945,71.17425743,66.72405063,57.45,67.50808081
1/20/2017,2000,71.18514851,66.69113924,57.78,67.74646465
1/20/2017,1915,71.12871287,65.9943662,58.475,67.68181818
1/20/2017,1930,71.04950495,65.63943662,56.46363636,67.94545455
1/20/2017,1945,70.83861386,65.74507042,56.23333333,68.05454545
1/20/2017,2000,70.8980198,65.33239437,55.62941176,68.08989899
1/20/2017,2015,70.69009901,64.9056338,53.79230769,68.12323232
11/22/2016,15,70.58613861,66.78333333,55.58666667,67.933
11/22/2016,30,70.46534653,66.63137255,54.7,67.95346535
11/22/2016,45,70.55643564,66.52352941,56.01578947,67.68415842
11/22/2016,15,70.71287129,64.09871795,55.58181818,67.99405941
11/22/2016,30,70.63960396,64.22564103,56.79545455,67.93267327
10/28/2016,745,70.49207921,70.00769231,55.68125,67.86138614
10/28/2016,800,70.37722772,69.83846154,56.89444444,67.62376238
10/28/2016,815,70.31782178,69.94854369,60.1375,67.40990099
10/28/2016,830,70.25,69.82718447,57.92857143,67.10891089
10/28/2016,745,70.14215686,67.04875,58.125,66.93960396
10/28/2016,800,70.32156863,66.86375,58.82727273,66.8950495
10/21/2016,615,70.27745098,68.51747573,57.81304348,66.71584158
10/21/2016,630,70.02941176,68.91262136,57.89473684,66.65841584
10/21/2016,615,69.66960784,66.9675,58.19473684,66.59207921
10/21/2016,630,69.47647059,67.2875,58.51904762,66.45643564
10/21/2016,645,69.37941176,68.1175,58.80869565,66.23564356
10/21/2016,700,69.30098039,67.3425,59.03,66.02475248
10/21/2016,715,69.03168317,67.305,59.06111111,65.92376238
10/21/2016,730,68.9049505,67.24125,58.31578947,65.57227723
10/21/2016,745,68.786,67.04875,57.75294118,65.46336634
10/21/2016,800,68.90594059,66.86375,57.28125,65.33168317
10/21/2016,815,69.06960784,66.39375,57.2,65.58613861
10/21/2016,830,69.01666667,66.3475,57.675,65.56732673
10/17/2016,2130,69.01862745,66.67352941,56.73571429,65.56633663
10/17/2016,2145,69.01372549,66.81862745,56.50555556,65.39108911
10/17/2016,2200,69.07156863,66.72254902,56.16666667,65.44950495
10/17/2016,2215,69.15686275,66.80294118,56.60555556,65.524
10/17/2016,2230,69.116,66.74313725,56.97894737,65.535
10/17/2016,2245,69.326,66.71372549,58.98,65.563
10/17/2016,2300,69.178,66.75686275,58.13125,65.537
10/17/2016,2130,69.03535354,65.07948718,60.34285714,66.81836735
10/17/2016,2145,68.93636364,64.77435897,59.94705882,66.71938776
10/17/2016,2200,68.94141414,64.67051282,61.4125,66.46326531
10/17/2016,2215,68.86868687,64.91282051,60.73,66.07857143
10/17/2016,2230,68.778,65.16794872,60.74,65.65
10/17/2016,2245,68.795,64.96794872,60.56363636,65.59081633
10/17/2016,2300,68.768,64.36282051,60.54,65.45257732
10/17/2016,2130,68.755,65.03125,61.3,65.32783505
10/17/2016,2145,68.78888889,65.23,62.2375,65.1185567
9/7/2016,945,68.807,68.24019608,61.51818182,65.00206186
9/7/2016,1000,68.91616162,68.41176471,60.425,65.13571429
9/7/2016,945,68.964,66.05063291,60.34444444,65.4185567
9/7/2016,1000,68.914,66.08101266,59.85454545,65.51340206
9/2/2016,745,68.96868687,70.00769231,59.81818182,65.48556701
9/2/2016,800,68.89393939,69.83846154,60.44,65.44329897
9/2/2016,815,68.919,69.94854369,55.15714286,65.43298969
9/2/2016,830,68.903,69.82718447,59.33333333,65.59285714
9/2/2016,845,69.014,69.61747573,60.16,65.71326531
9/2/2016,900,69.186,69.65825243,60.66666667,65.70808081
9/2/2016,915,69.186,69.82718447,59.1,65.84949495
9/2/2016,930,69.128,69.8815534,59.28181818,66.22424242
9/2/2016,945,69.08989899,69.45192308,57.51428571,66.34646465
