Date,Time,Sensor_2278,Sensor_3276,Sensor_4689,Sensor_5032,Section1_Diff,Section2_Diff,Total_Avg 
2017/12/12,1415,68.919,68.47843137,57.79166667,65.43298969,0.44056863000000135,-7.6413230200000015,58.40008614608696,
2017/12/12,1430,68.903,68.41666667,56.46363636,65.59285714,0.4863333300000079,-9.129220780000004,65.81689532882943,
2017/12/12,1445,69.014,68.61862745,57.53846154,65.71326531,0.3953725499999905,-8.174803769999997,null,
2017/12/12,1500,69.186,68.41165049,56.56666667,65.70808081,0.7743495100000075,-9.141414140000002,null,
2017/12/12,1515,69.186,68.27254902,56.23333333,65.84949495,0.9134509800000075,-9.616161619999993,null,
2017/12/12,1400,69.128,66.47468354,54.08,66.22424242,2.653316459999999,-12.144242419999998,null,
2017/12/12,1415,69.08989899,66.24683544,53.79230769,66.34646465,2.8430635499999966,-12.55415696,null,
2017/12/08,830,69.27878788,69.82718447,55.58666667,66.7989899,-0.5483965900000101,-11.212323229999996,null,
2017/12/08,845,69.57979798,69.61747573,54.7,67.62121212,-0.03767775000000029,-12.921212119999993,null,
2017/12/08,900,69.72020202,69.65825243,56.01578947,68.43434343,0.061949589999997556,-12.418553959999997,null,
2017/12/08,845,69.86868687,66.2225,55.58181818,68.5030303,3.646186870000008,-12.921212120000007,null,
2017/12/08,900,70.13737374,66.575,56.79545455,68.87272727,3.562373739999998,-12.077272719999996,null,
2017/12/08,845,70.49494949,66.88875,55.68125,68.26868687,3.6061994899999945,-12.587436869999998,null,
2017/12/08,900,70.75353535,67.065,56.89444444,67.5,3.6885353500000093,-10.605555559999999,null,
2017/12/08,915,70.91717172,66.28375,60.1375,62.67676768,4.633421720000001,-2.5392676799999947,null,
2017/12/08,200,71.072,67.12647059,57.92857143,53.02323232,3.945529410000006,4.90533911,null,
2017/12/08,215,71.16336634,67.14950495,58.125,46.67272727,4.013861390000002,11.452272729999997,null,
2017/12/08,230,71.20693069,67.24752475,57.81304348,47.70707071,3.9594059399999963,10.105972769999994,null,
2017/12/08,245,71.45841584,67.1970297,57.89473684,50.67346939,4.261386139999999,7.221267449999999,null,
2017/12/08,300,71.5990099,67.26960784,58.0952381,52.97979798,4.3294020599999925,5.115440120000002,null,
2017/12/08,200,71.63861386,64.46666667,58.19473684,58.15353535,7.171947190000012,0.04120148999999884,null,
2017/12/08,215,71.5980198,64.69113924,58.51904762,62.33030303,6.906880560000005,-3.811255410000001,null,
2017/12/08,230,71.76732673,64.37820513,58.80869565,66.275,7.389121599999996,-7.466304350000009,null,
2017/12/08,145,71.87029703,67.18653846,59.03,67.92,4.683758570000009,-8.89,null,
2017/12/08,200,71.75445545,67.12647059,59.06111111,68.196,4.627984859999998,-9.13488889,null,
2017/12/08,215,71.69108911,67.14950495,58.01111111,68.624,4.541584159999999,-10.612888889999994,null,
2017/12/08,230,71.39405941,67.24752475,58.31578947,68.266,4.14653466,-9.950210530000007,null,
2017/12/08,245,71.32079208,67.1970297,57.75294118,67.871,4.123762380000002,-10.118058819999995,null,
2017/12/08,300,71.332,67.26960784,57.28125,68.025,4.0623921599999875,-10.743750000000006,null,
2017/12/08,145,71.254,64.38875,57.2,68.13,6.865250000000003,-10.929999999999993,null,
2017/12/08,200,71.06138614,64.46666667,57.675,67.997,6.594719470000001,-10.322000000000003,null,
2017/12/08,215,70.88613861,64.69113924,56.73571429,68.09009901,6.194999370000005,-11.354384720000006,null,
2017/12/08,230,71.14455446,64.37820513,56.50555556,67.82178218,6.766349329999997,-11.316226620000002,null,
2017/10/31,1630,71.15247525,68.36893204,56.16666667,67.7970297,2.7835432099999906,-11.630363029999998,null,
2017/10/31,1645,71.10792079,68.21165049,56.60555556,67.75445545,2.8962702999999976,-11.148899889999996,null,
2017/10/31,1700,71.10990099,68.53009709,56.97894737,67.77524752,2.5798039000000017,-10.796300149999993,null,
2017/10/31,1630,71.0950495,65.82,57.61333333,67.864,5.275049500000009,-10.250666670000001,null,
2017/10/31,1645,71.17722772,65.95,59.56428571,67.761,5.227227720000002,-8.196714289999996,null,
2017/10/03,1015,70.88316832,68.48514851,60.18823529,67.589,2.398019809999994,-7.400764709999997,null,
2017/10/03,1030,70.87425743,68.52970297,61.3,67.74242424,2.3445544599999977,-6.442424240000008,null,
2017/10/03,1015,71.07029703,65.95189873,61.49333333,67.7040404,5.11839830000001,-6.210707069999998,null,
2017/10/03,1030,71.2950495,66.36455696,60.9,67.68181818,4.930492540000003,-6.781818179999995,null,
2017/10/03,1045,71.3029703,65.92151899,60.34285714,67.71717172,5.381451310000003,-7.3743145799999965,null,
2017/10/03,1100,71.27524752,65.90886076,59.94705882,67.5959596,5.3663867599999975,-7.648900779999998,null,
2017/10/03,1115,71.17425743,66.17468354,60.38333333,67.50808081,4.9995738899999935,-7.124747479999996,null,
2017/10/03,1015,71.18514851,67.0625,61.4125,67.74646465,4.122648510000005,-6.3339646499999915,null,
2017/10/03,1030,71.12871287,66.765,60.73,67.68181818,4.3637128700000005,-6.9518181799999965,null,
2017/10/03,1045,71.04950495,66.70375,60.74,67.94545455,4.34575495,-7.205454549999992,null,
2017/10/03,1100,70.83861386,66.71375,60.54,68.05454545,4.124863859999991,-7.514545450000007,null,
2017/10/03,1115,70.8980198,66.33125,61.13333333,68.08989899,4.566769800000003,-6.956565659999995,null,
2017/10/03,1130,70.69009901,66.73,61.3,68.12323232,3.9600990099999933,-6.8232323200000025,null,
2017/09/22,945,70.58613861,69.45192308,62.2375,67.933,1.1342155300000059,-5.69550000000001,null,
2017/09/22,1000,70.46534653,69.54615385,63.02857143,67.95346535,0.919192680000009,-4.924893920000002,null,
2017/09/22,1015,70.55643564,69.62135922,61.14285714,67.68415842,0.9350764200000015,-6.541301280000006,null,
2017/09/22,1030,70.71287129,69.70288462,60.18571429,67.99405941,1.0099866699999893,-7.808345120000006,null,
2017/09/22,1045,70.63960396,69.64326923,60.99,67.93267327,0.996334730000001,-6.942673269999993,null,
2017/09/22,945,70.49207921,66.61,55.58181818,67.86138614,3.8820792100000006,-12.279567959999994,null,
2017/09/22,1000,70.37722772,66.48,56.79545455,67.62376238,3.8972277199999894,-10.82830783,null,
2017/09/22,1015,70.31782178,66.3675,55.68125,67.40990099,3.950321779999996,-11.728650989999998,null,
2017/09/22,1030,70.25,66.06125,56.89444444,67.10891089,4.188749999999999,-10.214466450000003,null,
2017/09/09,900,70.14215686,71.48415842,60.1375,66.93960396,-1.34200156,-6.802103959999997,null,
2017/09/09,915,70.32156863,71.5049505,57.92857143,66.8950495,-1.1833818700000052,-8.96647807,null,
2017/09/09,930,70.27745098,71.47425743,58.125,66.71584158,-1.1968064499999969,-8.590841580000003,null,
2017/09/09,945,70.02941176,71.20990099,58.82727273,66.65841584,-1.180489229999992,-7.831143110000006,null,
2017/09/09,1000,69.66960784,70.84950495,58.81176471,66.59207921,-1.1798971099999989,-7.780314499999996,null,
2017/09/09,1015,69.47647059,71.0019802,60.02142857,66.45643564,-1.5255096100000003,-6.4350070699999975,null,
2017/09/09,900,69.37941176,68.11265823,59.97333333,66.23564356,1.2667535300000026,-6.262310229999997,null,
2017/09/09,915,69.30098039,67.95063291,59.66818182,66.02475248,1.3503474800000106,-6.356570660000003,null,
2017/09/09,930,69.03168317,67.90632911,57.81304348,65.92376238,1.1253540599999923,-8.110718900000002,null,
2017/09/09,945,68.9049505,67.85063291,57.89473684,65.57227723,1.0543175899999966,-7.677540389999997,null,
2017/09/09,1000,68.786,68.25443038,58.0952381,65.46336634,0.5315696199999991,-7.36812823999999,null,
2017/09/09,1015,68.90594059,67.93037975,58.19473684,65.33168317,0.97556084,-7.136946330000008,null,
2017/09/09,1030,69.06960784,67.90253165,58.80869565,65.58613861,1.167076190000003,-6.777442960000009,null,
2017/07/28,845,69.01666667,69.61747573,59.03,65.56732673,-0.6008090599999889,-6.537326730000004,null,
2017/07/28,900,69.01862745,69.65825243,59.06111111,65.56633663,-0.6396249800000078,-6.505225519999996,null,
2017/07/28,915,69.01372549,69.82718447,58.01111111,65.39108911,-0.8134589800000072,-7.379977999999994,null,
2017/07/28,930,69.07156863,69.8815534,58.31578947,65.44950495,-0.8099847699999998,-7.133715480000006,null,
2017/07/28,845,69.15686275,66.2225,57.75294118,65.524,2.9343627500000053,-7.77105882,null,
2017/07/28,900,69.116,66.575,57.28125,65.535,2.540999999999997,-8.253749999999997,null,
2017/07/28,845,69.326,66.88875,57.2,65.563,2.4372499999999917,-8.363,null,
2017/07/28,900,69.178,67.065,57.675,65.537,2.1129999999999995,-7.862000000000009,null,
2017/06/28,630,69.03535354,68.41188119,56.50555556,66.81836735,0.6234723500000001,-10.312811790000005,null,
2017/06/28,645,68.93636364,68.62475248,56.16666667,66.71938776,0.3116111599999982,-10.552721090000006,null,
